model,date,mean,lower,upper,ci_level,forecast_date
arima,2021-05-02,179.40894837639007,47.129347739995076,488.7059122428228,95,2021-05-01
arima,2021-05-03,225.38641401385584,45.20419820915223,715.2351970261324,95,2021-05-01
arima,2021-05-04,237.06249841041358,37.356124471753695,855.0342892806004,95,2021-05-01
arima,2021-05-05,246.9509218728191,31.239800031653928,995.8114034112506,95,2021-05-01
arima,2021-05-06,253.26177206013008,26.129836500348198,1128.546700021232,95,2021-05-01
arima,2021-05-07,261.07806726647016,22.254965952164063,1274.3567945006582,95,2021-05-01
arima,2021-05-08,269.35651657338553,17.225044145977517,1501.9778964139857,95,2021-05-01
arima,2021-05-09,272.0447036459039,13.573692205556288,1695.6636889425163,95,2021-05-01
arima,2021-05-10,317.1990375090863,12.653292531169408,2191.112852047971,95,2021-05-01
arima,2021-05-11,335.3897612080915,10.751872605601926,2551.7454678237577,95,2021-05-01
arima,2021-05-12,351.30379795529683,9.130333278586294,2928.591526017016,95,2021-05-01
arima,2021-05-13,363.1258413377347,7.699435493898118,3302.5138564196127,95,2021-05-01
arima,2021-05-14,379.64253307720014,6.618752340091546,3752.858921580372,95,2021-05-01
arima,2021-05-15,312.7616129806893,115.87281152843272,691.3793426652873,95,2021-05-15
arima,2021-05-16,341.5668798862424,92.16574553726879,918.3239919280031,95,2021-05-15
arima,2021-05-17,410.73109613210886,85.00210844322679,1284.9537333669375,95,2021-05-15
arima,2021-05-18,426.2391212716398,69.6927398006923,1513.7335806707008,95,2021-05-15
arima,2021-05-19,460.41869711928416,60.80512834183177,1825.940905495453,95,2021-05-15
arima,2021-05-20,486.35112061098675,52.71980431811365,2129.108772336302,95,2021-05-15
arima,2021-05-21,500.2843088142327,45.070495376119425,2396.7417186646335,95,2021-05-15
arima,2021-05-22,523.9918514969074,35.76299970900704,2864.697502210817,95,2021-05-15
arima,2021-05-23,568.2721437088078,30.6446590594429,3468.8179739036486,95,2021-05-15
arima,2021-05-24,648.2244230773133,28.08144870864945,4381.790168891483,95,2021-05-15
arima,2021-05-25,670.4511641840672,23.543203589094375,4987.1831943865245,95,2021-05-15
arima,2021-05-26,714.2369402898105,20.563540645013653,5815.728687903665,95,2021-05-15
arima,2021-05-27,754.4316775244438,17.960891350585726,6695.369073375348,95,2021-05-15
arima,2021-05-28,782.4733509625573,15.505563560740985,7541.050216209565,95,2021-05-15
arima,2021-06-01,670.9292305332335,253.58164849347412,1465.3198129731932,95,2021-06-01
arima,2021-06-02,743.3930221721578,206.10257983309253,1969.7950167282688,95,2021-06-01
arima,2021-06-03,758.7810622534499,162.12970502016685,2335.8020221205866,95,2021-06-01
arima,2021-06-04,790.1278275312773,134.11932245831554,2756.8295099383286,95,2021-06-01
arima,2021-06-05,772.3119592932097,106.3201837026973,3005.4140317241713,95,2021-06-01
arima,2021-06-06,840.0230242379731,95.37912024945989,3603.8764470354295,95,2021-06-01
arima,2021-06-07,963.848381768754,91.48018525342238,4519.551632500119,95,2021-06-01
arima,2021-06-08,1035.7880717414507,74.95270032775827,5536.717660978679,95,2021-06-01
arima,2021-06-09,1134.8399742236247,65.24219560207483,6765.978638202494,95,2021-06-01
arima,2021-06-10,1176.3646036198043,54.478864989584466,7759.414397064699,95,2021-06-01
arima,2021-06-11,1234.5700012800148,46.62833881860598,8951.446748334292,95,2021-06-01
arima,2021-06-12,1247.3111149245003,38.78296035240791,9889.737571975164,95,2021-06-01
arima,2021-06-13,1335.730022008939,34.54504753000204,11530.833979304283,95,2021-06-01
arima,2021-06-14,1460.5040282275788,31.688656869802465,13676.688578172085,95,2021-06-01
arima,2021-06-15,1261.4389453257177,483.6170248316419,2730.3301031549463,95,2021-06-15
arima,2021-06-16,1371.6836847315517,387.46307825159823,3596.3070137043383,95,2021-06-15
arima,2021-06-17,1442.3274375256976,315.27060441158113,4387.599627089537,95,2021-06-15
arima,2021-06-18,1434.3901841643367,249.94095793564435,4940.49870784401,95,2021-06-15
arima,2021-06-19,1391.3078993762776,197.3111559059062,5339.5544355051,95,2021-06-15
arima,2021-06-20,1537.3379261949729,180.37060586251346,6498.981979714451,95,2021-06-15
arima,2021-06-21,1777.7202364189188,174.79695859813478,8207.445704078536,95,2021-06-15
arima,2021-06-22,1922.747577561799,144.61789060924812,10113.056140984629,95,2021-06-15
arima,2021-06-23,2056.2777594188224,123.20666613332892,12055.114750481749,95,2021-06-15
arima,2021-06-24,2169.860934504687,105.0848681341198,14063.911538917577,95,2021-06-15
arima,2021-06-25,2213.2141776133894,87.66419793314614,15757.548509079998,95,2021-06-15
arima,2021-06-26,2235.43696450221,73.1562467337844,17392.00051197737,95,2021-06-15
arima,2021-06-27,2421.4204366731756,66.12015812746863,20496.73703256545,95,2021-06-15
arima,2021-06-28,2674.2170411399175,61.43731493774453,24538.39674924161,95,2021-06-15
arima,2021-07-01,4263.19301525894,1656.7940706297816,9147.744009979888,95,2021-07-01
