model,date,mean,lower,upper,ci_level,forecast_date
ets,2020-08-09,43.544040151152785,-9.749014574650383e-4,415.33388237312573,95,2020-08-01
ets,2020-08-10,45.972796507610994,-0.1904561508127861,496.2105286052964,95,2020-08-01
ets,2020-08-11,48.4704074564604,-0.3427373724264128,591.6581942079908,95,2020-08-01
ets,2020-08-12,51.03533617814281,-0.4656275451219549,704.4426400310725,95,2020-08-01
ets,2020-08-13,53.66599173727273,-0.5651148629700131,837.8682234809082,95,2020-08-01
ets,2020-08-14,56.360733685146286,-0.6458524158494933,995.8884479740939,95,2020-08-01
ets,2020-08-15,62.20118268130193,15.110105521298813,175.2077833978256,95,2020-08-15
ets,2020-08-16,68.11448775170288,11.33038033940871,234.3514112412536,95,2020-08-15
ets,2020-08-17,74.51089312583332,8.724803110708962,304.0578949447531,95,2020-08-15
ets,2020-08-18,81.4163757665984,6.809791830348529,387.32328699514835,95,2020-08-15
ets,2020-08-19,88.8577392397238,5.34719712141098,487.45067437653495,95,2020-08-15
ets,2020-08-20,96.8626337495946,4.201498055241415,608.3180813996651,95,2020-08-15
ets,2020-08-21,105.45957659304648,3.288043988624114,754.5845711214308,95,2020-08-15
ets,2020-08-22,114.67797303363227,2.5503843708895277,931.9035519023515,95,2020-08-15
ets,2020-08-23,124.54813760114244,1.9490071127506252,1147.1697649861646,95,2020-08-15
ets,2020-08-24,135.10131583252712,1.4552115758496673,1408.8172169679103,95,2020-08-15
ets,2020-08-25,146.36970645502043,1.0475356090729604,1727.1843830459684,95,2020-08-15
ets,2020-08-26,158.38648402091337,0.7095541096602231,2114.965073911405,95,2020-08-15
ets,2020-08-27,171.18582200928608,0.42846027641564755,2587.7671274725167,95,2020-08-15
ets,2020-08-28,184.8029163898359,0.19411628039922557,3164.8063082076956,95,2020-08-15
ets,2020-09-01,158.96147838557891,41.13616868874483,436.46747853311143,95,2020-09-01
ets,2020-09-02,177.08222519034007,31.973572540366696,593.3351462724723,95,2020-09-01
ets,2020-09-03,197.06052582073153,25.609915609915866,781.97973050484,95,2020-09-01
ets,2020-09-04,219.05077961891544,20.876462321261364,1011.5431117160953,95,2020-09-01
ets,2020-09-05,243.21784331916672,17.20719189009794,1292.4339223345273,95,2020-09-01
ets,2020-09-06,269.7376424558927,14.283936705550385,1637.1308358991732,95,2020-09-01
ets,2020-09-07,298.7978149827995,11.909801733625768,2060.8679278896857,95,2020-09-01
ets,2020-09-08,330.59838867793644,9.954375804494704,2582.3864638810346,95,2020-09-01
ets,2020-09-09,365.35249398332985,8.326782512234265,3224.83214773176,95,2020-09-01
ets,2020-09-10,403.28711398155906,6.961147856736979,4016.8574596354956,95,2020-09-01
ets,2020-09-11,444.64387334261403,5.808196673279698,4993.991136844334,95,2020-09-01
ets,2020-09-12,489.6798680713549,4.830117482908031,6200.348074098468,95,2020-09-01
ets,2020-09-13,538.6685380990355,3.997280430486283,7690.770068505457,95,2020-09-01
ets,2020-09-14,591.9005847014779,3.2860595428564254,9533.510784613538,95,2020-09-01
ets,2020-09-15,2837.943369267184,723.1408372710562,7910.983237472483,95,2020-09-15
ets,2020-09-16,3338.0467166680473,566.4970658069875,11669.304174241906,95,2020-09-15
ets,2020-09-17,3914.8974664868674,462.7208256437515,16508.22145795197,95,2020-09-15
ets,2020-09-18,4579.0562414518745,387.3164620665873,22788.499599858707,95,2020-09-15
ets,2020-09-19,5342.416040850128,329.44664343461346,30955.841554271818,95,2020-09-15
ets,2020-09-20,6218.359244069023,283.3914690710097,41578.45783910294,95,2020-09-15
ets,2020-09-21,7221.932141746614,245.78182336562233,55387.501513394156,95,2020-09-15
ets,2020-09-22,8370.038868900334,214.47639712228212,73327.10756783046,95,2020-09-15
ets,2020-09-23,9681.656806701687,188.03526647602175,96618.49120153973,95,2020-09-15
ets,2020-09-24,11178.07573351682,165.44677224566016,126842.90392879443,95,2020-09-15
ets,2020-09-25,12883.163238750258,145.97464409563491,166049.41227836037,95,2020-09-15
ets,2020-09-26,14823.659171426036,129.0672135479075,216895.19674157925,95,2020-09-15
ets,2020-09-27,17029.502177803966,114.30087279829175,282828.4155265687,95,2020-09-15
ets,2020-09-28,19534.19169376506,101.34345585233255,368326.7930125325,95,2020-09-15
ets,2020-10-01,12217.286513869278,3273.540684653774,33074.891520608326,95,2020-10-01
ets,2020-10-02,14423.210306317982,2613.4856605000064,48697.89080828421,95,2020-10-01
ets,2020-10-03,16989.46977153251,2171.689927225195,68888.17235738975,95,2020-10-01
ets,2020-10-04,19969.81600270937,1847.2892939328879,95195.75711902574,95,2020-10-01
ets,2020-10-05,23425.429005261012,1595.6075495690222,129548.96739097888,95,2020-10-01
ets,2020-10-06,27425.882853258052,1393.0520498581072,174420.4455140559,95,2020-10-01
ets,2020-10-07,32050.230137401064,1225.7245201638157,233009.34815647846,95,2020-10-01
ets,2020-10-08,37388.219863751954,1084.7931247749927,309468.9977803796,95,2020-10-01
ets,2020-10-09,43541.664587473235,964.3211348739001,409200.4920764721,95,2020-10-01
ets,2020-10-10,50625.97437286435,860.1395660112671,539234.9817821139,95,2020-10-01
ets,2020-10-11,58771.87718000289,769.2157649196382,708733.1969014993,95,2020-10-01
ets,2020-10-12,68127.34751000491,689.2782535896204,929639.3904713794,95,2020-10-01
ets,2020-10-13,78859.76761686019,618.5830051648361,1217538.5107401148,95,2020-10-01
ets,2020-10-14,91158.34835389894,555.7620482366677,1592780.9324578892,95,2020-10-01
ets,2020-10-15,19206.634389544062,5335.520441882606,50893.52236970774,95,2020-10-15
ets,2020-10-16,22218.338421154025,4214.155593283861,73180.73600176527,95,2020-10-15
ets,2020-10-17,25644.696703818474,3465.4796126929054,101067.2544170744,95,2020-10-15
ets,2020-10-18,29536.77233937751,2918.026057148048,136316.7913393933,95,2020-10-15
ets,2020-10-19,33951.36746948232,2495.6221009017404,181018.26595312668,95,2020-10-15
ets,2020-10-20,38951.62328935952,2157.885396334852,237756.98916213878,95,2020-10-15
ets,2020-10-21,44607.67931036402,1880.9284292962398,309775.6665702499,95,2020-10-15
ets,2020-10-22,50997.39746013156,1649.508802627876,401162.17295090645,95,2020-10-15
ets,2020-10-23,58207.157118958276,1453.3397244763694,517081.8492429186,95,2020-10-15
ets,2020-10-24,66332.72774286699,1285.1704382341672,664070.0903030366,95,2020-10-15
ets,2020-10-25,75480.22632557669,1139.7087286811036,850403.2660035453,95,2020-10-15
ets,2020-10-26,85767.16760776017,1012.9792433693988,1086570.2945292457,95,2020-10-15
ets,2020-10-27,97323.61565006452,901.922756165289,1385873.140609199,95,2020-10-15
ets,2020-10-28,110293.44616674044,804.1359258232404,1765192.345773377,95,2020-10-15
ets,2020-11-01,16799.08412035481,4856.819139604869,43458.53821677404,95,2020-11-01
ets,2020-11-02,18774.03103678029,3672.2020508936043,60801.693737311354,95,2020-11-01
ets,2020-11-03,20848.405171643062,2936.9995690199717,80417.70956190421,95,2020-11-01
ets,2020-11-04,23026.284108514265,2428.805781348767,102866.56411107111,95,2020-11-01
ets,2020-11-05,25311.897506315003,2054.8989823190113,128613.35223543597,95,2020-11-01
ets,2020-11-06,27709.632467320684,1768.1106335597242,158115.57656754172,95,2020-11-01
ets,2020-11-07,30224.039088194582,1541.4285934187135,191851.96588295946,95,2020-11-01
ets,2020-11-08,32859.83619980453,1358.09846996133,230336.07669720356,95,2020-11-01
ets,2020-11-09,35621.91730203748,1207.1087486574302,274124.8139829855,95,2020-11-01
ets,2020-11-10,38515.356700282515,1080.8956124862173,323825.0581814692,95,2020-11-01
ets,2020-11-11,41545.4158505581,974.07893348348,380099.6117826456,95,2020-11-01
ets,2020-11-12,44717.54991907366,882.7217680523345,443672.9996735855,95,2020-11-01
ets,2020-11-13,48037.41456510237,803.8746035889938,515337.39043675276,95,2020-11-01
ets,2020-11-14,51510.87295242776,735.2833026184683,595958.7901103307,95,2020-11-01
ets,2020-11-15,19064.282003838838,5579.975484350642,48952.78673038995,95,2020-11-15
ets,2020-11-16,21065.82580772371,4411.222969045764,65698.58461035813,95,2020-11-15
ets,2020-11-17,23170.868452936273,3643.7556620803844,84385.95654168133,95,2020-11-15
ets,2020-11-18,25383.83556936976,3093.2508089739113,105464.86011164973,95,2020-11-15
ets,2020-11-19,27709.32569258428,2676.6735633760945,129309.39839274606,95,2020-11-15
ets,2020-11-20,30152.11667077022,2349.72323750129,156282.5431468329,95,2020-11-15
ets,2020-11-21,32717.172300964972,2086.152546419367,186759.15497087844,95,2020-11-15
ets,2020-11-22,35409.64920243723,1869.2456604747217,221137.02702970608,95,2020-11-15
ets,2020-11-23,38234.90393573004,1687.7757484933563,259843.64501915697,95,2020-11-15
ets,2020-11-24,41198.50037582944,1533.8874857756653,303341.2321356518,95,2020-11-15
ets,2020-11-25,44306.21734816943,1401.9024697288353,352131.09634458047,95,2020-11-15
ets,2020-11-26,47564.05653703132,1287.605167694017,406757.73860879533,95,2020-11-15
ets,2020-11-27,50978.25067533142,1187.7957892010782,467812.95309081284,95,2020-11-15
ets,2020-11-28,54555.27202548081,1099.999384093613,535940.0486269804,95,2020-11-15
ets,2020-12-01,13184.258206953296,4017.342597334137,33033.225419299575,95,2020-12-01
ets,2020-12-02,14316.210130970614,3067.365174381903,44078.63262108238,95,2020-12-01
ets,2020-12-03,15524.177058476584,2431.309503956023,56656.850788428295,95,2020-12-01
ets,2020-12-04,16811.522967848057,1969.9089217450774,71242.67266821038,95,2020-12-01
ets,2020-12-05,18181.701732077836,1619.2934717663968,88297.45299930975,95,2020-12-01
ets,2020-12-06,19638.258959515653,1344.6725657955042,108327.1434909506,95,2020-12-01
ets,2020-12-07,21184.833866856272,1124.9735111821244,131911.65063371873,95,2020-12-01
ets,2020-12-08,22825.161184610675,946.4688408562267,159727.9388285794,95,2020-12-01
ets,2020-12-09,24563.073096042062,799.7272415110123,192573.0928877343,95,2020-12-01
ets,2020-12-10,26402.501209274677,678.0005581704339,231389.88936728475,95,2020-12-01
ets,2020-12-11,28347.478564197423,576.3038872337274,277296.418639449,95,2020-12-01
ets,2020-12-12,30402.141673626356,490.8592326869934,331621.05219382234,95,2020-12-01
