date,cases
2021-11-04,2816
2021-11-05,2791
2021-11-06,2228
2021-11-07,2312
2021-11-08,3851
2021-11-09,3482
2021-11-10,3316
2021-11-11,3239
2021-11-12,2874
2021-11-13,2332
2021-11-14,2439
2021-11-15,3673
2021-11-16,3309
2021-11-17,3328
2021-11-18,3002
2021-11-19,2802
2021-11-20,2237
2021-11-21,2183
2021-11-22,3177
2021-11-23,2915
2021-11-24,2918
2021-11-25,2507
2021-11-26,2252
2021-11-27,1895
2021-11-28,2336
2021-11-29,3467
2021-11-30,3324
2021-12-01,3123
2021-12-02,2965
2021-12-03,2662
2021-12-04,2140
2021-12-05,2529
2021-12-06,3818
2021-12-07,3807
2021-12-08,4214
2021-12-09,4065
2021-12-10,3795
2021-12-11,3312
2021-12-12,3411
2021-12-13,5777
2021-12-14,6554
2021-12-15,7200
2021-12-16,6642
2021-12-17,5871
2021-12-18,5196
2021-12-19,5589
2021-12-20,8624
2021-12-21,10481
2021-12-22,11878
2021-12-23,12386
2021-12-24,9657
2021-12-25,4842
2021-12-26,7459
2021-12-27,18740
2021-12-28,19825
2021-12-29,23482
2021-12-30,22142
2021-12-31,17740
2022-01-01,7339
2022-01-02,15637
2022-01-03,19478
2022-01-04,19820
2022-01-05,22523
2022-01-06,13807
2022-01-07,9110
2022-01-08,7239
2022-01-09,7659
2022-01-10,9367
2022-01-11,8269
2022-01-12,7645
2022-01-13,7265
2022-01-14,6485
2022-01-15,5791
2022-01-16,7072
2022-01-17,9162
2022-01-18,8513
2022-01-19,7873
2022-01-20,7060
2022-01-21,6653
2022-01-22,6112
2022-01-23,7355
2022-01-24,9461
2022-01-25,8439
2022-01-26,8168
2022-01-27,7099
2022-01-28,6587
2022-01-29,5487
2022-01-30,6946
2022-01-31,8907
2022-02-01,8390
2022-02-02,7959
2022-02-03,7165
2022-02-04,5961
2022-02-05,5274
2022-02-06,6050
2022-02-07,7773
2022-02-08,8551
2022-02-09,8187
2022-02-10,6744
2022-02-11,6087
2022-02-12,5401
2022-02-13,6060
2022-02-14,7790
2022-02-15,8205
2022-02-16,7936
2022-02-17,7208
2022-02-18,5930
2022-02-19,5463
2022-02-20,6305
2022-02-21,8112
2022-02-22,7650
2022-02-23,7226
2022-02-24,6141
2022-02-25,5964
2022-02-26,5373
2022-02-27,6509
2022-02-28,9242
2022-03-01,9436
2022-03-02,9343
2022-03-03,8990
2022-03-04,8089
2022-03-05,7700
2022-03-06,10041
2022-03-07,13311
2022-03-08,13556
2022-03-09,13906
2022-03-10,12475
2022-03-11,11379
2022-03-12,10065
2022-03-13,12119
2022-03-14,15246
2022-03-15,14748
2022-03-16,13426
2022-03-17,11402
2022-03-18,9849
2022-03-19,9042
2022-03-20,10133
2022-03-21,13649
2022-03-22,12324
2022-03-23,11742
2022-03-24,10336
2022-03-25,8802
2022-03-26,7161
2022-03-27,7568
2022-03-28,10002
2022-03-29,4880
